Restaurant,Address,Author_Name,Review,Anger,Fear,Joy,Sadness,Sentiment
SONS,"115 Amoy St, #01-01, Singapore 069935",Clare Chia,Great for a dinner with friends. Staffs were friendly. Got my order wrong but the right one (Duck Confit) came shortly. I would come again!,0.435,0.3777,0.5113,0.3687,0.5772
Go K BBQ Amoy,"115 Amoy St, #01-01, Singapore 069935",Jeremy Tan,Thank you for letting us in even tho it was 30min before closing. My gf was going back on that day.,0.4349,0.3605,0.5085,0.4042,0.5816
51 Soho,"115 Amoy St, #01-01, Singapore 069935",Jason Seet,"The place was excellent, you know when you go to a restaurant and the chef has pride, you can feel it in the food. The plating was great, the food was tasty and the service was awesome. It was my son's birthday and they treated him to drinks and a desert. What more can u ask for? Totally recommended. Kudos!",0.4348,0.3046,0.5519,0.3268,0.5913
Tandoori Culture,"115 Amoy St, #01-01, Singapore 069935",Zachary Wayne,"Tasty Indian fare, the pricing is of restaurant standards, like 20 dlr per person kind. It's definitely tasty, I personally think this is can serve as a good benchmark for Indian food restaurant should be.",0.4344,0.3525,0.4422,0.3253,0.6208
Artemis Grill & Sky Bar,"115 Amoy St, #01-01, Singapore 069935",Colin Lee,"Good views and generally good food that are bettered by the excellent service. Staff are responsive, prompt and always pleasant and professional. The main course of beef was an over-seasoned piece of disappointment that was served medium instead of medium-rare as ordered. Rest of the food make the grade for a restaurant in this price category.",0.4342,0.3359,0.3943,0.4111,0.5443
Dong Fang Hong Restaurant,"115 Amoy St, #01-01, Singapore 069935",Gardenia Ong,"I enjoyed the cold noodles thoroughly, and so did my friend with her jajangmyeon. According to her, she prefers this to the one that she had in Korea and she managed to finish every strand of noodles in that bowl.",0.434,0.4117,0.4372,0.3527,0.5788
Caffe B,"115 Amoy St, #01-01, Singapore 069935",Natalie Tang,"We had a corporate function here, and the food was excellent. We ordered the burrata (highly recommmend), crab croquettes, cold cut platter, and truffle churros to start; for mains we had wagyu steak (recommend, though the portion is a little small), lobster risotto, black cod (highly recommend), and mushroom risotto; finally for dessert we had the green tea tiramisu, and the arabica coffee gelato. Service was a little on the slow side, but that might have something to do with our private room being on the top floor. Thank you for a lovely night!",0.4339,0.3536,0.4997,0.3412,0.6093
Swee Kee Eating House,"115 Amoy St, #01-01, Singapore 069935",Moli Maratzzi,Tasty and affordable. A bit hectic and impolite service.,0.4337,0.4309,0.3112,0.4919,0.3914
Yakiniku-Oh GOEN,"115 Amoy St, #01-01, Singapore 069935",Tricia Lam,"Interesting take on a bibimbap - the beef is marinated in a sweet-ish sauce... brings to mind Chinese braised pork? In any case it's tasty, including the (few pieces of) radish that come with the beef. Unfortunately no accompanying gochujang sauce!",0.4329,0.3269,0.4041,0.3262,0.5228
Swee Kee Eating House,"115 Amoy St, #01-01, Singapore 069935",eternal joy,Place has been renovated. Price for the dishes have increased ? Please comment.,0.4329,0.3488,0.4328,0.3655,0.5696
Straits Chinese Restaurant,"115 Amoy St, #01-01, Singapore 069935",Eric Goh,"This outlet serves tourists. Hence can get rather noisy. Food is good. Service is not as good as expected, probably because the staff are new.",0.4328,0.4338,0.382,0.4392,0.5116
Fu Lin Bar & Kitchen,"115 Amoy St, #01-01, Singapore 069935",Angela Lim,"Great place and awesome, delectable food. Would be better if they accept credit cards payments, which will save a lot of time from customers digging out cash to pay.",0.4325,0.2881,0.4265,0.3759,0.5957
Nouri,"115 Amoy St, #01-01, Singapore 069935",Melissa Lee,"There are two dining concepts - dinner in the dining room mainly at a communal table and smaller dishes at the bar for ""supper"".We went for a 5 course tasting menu and definitely enjoyed it.In fact, we were thinking that Nouri should be a Michelin winner, and later in the week, they were one of the new restaurants on the list!",0.4324,0.3593,0.5477,0.2584,0.6607
Guo Fu Hotpot Steamboat,"115 Amoy St, #01-01, Singapore 069935",Christine Tan,"Great experience. Went there twice, one during lunch period and second time during festive period. Both time, the staffs has proven to be wonderful in ensuring our time spent there would be a good one. They are helpful and always paying attention to little details even when the restaurant is already full house. What we love was their ala carte buffet! Love it as they provide small portions so you wont overorder and also able to order via the iPad which serves in 5 to 10 mins after ordering! It was worth every penny. The food variety was excellent as well. The only downside would be the lack of air condition. They have made an effort to get standing fans to help with the warm air. But it seems like the air con is not working. Aside to that, everything is fine!",0.4322,0.3446,0.4365,0.3686,0.5519
Ichida Japanese Dining,"115 Amoy St, #01-01, Singapore 069935",Suzie Leong,"I can second what others are saying. The 50% off or 1-for-1 omakase is a gimmick. Our omakase comes with sushi but they tried to be funny by changing it to mini cut salmon rice bowl. We insisted on having sushi only then did we get 3 pieces. Taste wise, some were OK, some not passable. The overall 'omakase' meal was unimpressive. At 50% off omakase, you're just paying for what it's worth, not really getting a deal. At full price, this would have been a 1 star rating.",0.432,0.3178,0.3683,0.3591,0.5158
Original Chew Kee Eating House,"115 Amoy St, #01-01, Singapore 069935",Aron,"One of the best soy sauce chicken in Singapore that is affordable and tasty. The chicken is tender, sauce is rich and thick and noodles are springy. The stall may not stand out in Chinatown but it is definitely a must-try for visitors. It is conveniently located just opposite of one of the exits of Chinatown train station. Do order it's dumpling soup as well!",0.4317,0.27,0.4466,0.3429,0.5474
The Market Grill,"115 Amoy St, #01-01, Singapore 069935",zhihao yee,Probably a little overrated. Wasn't blown away for the price point. Definitely better options elsewhere.,0.4315,0.3827,0.2342,0.4733,0.3785
Shree Ganga,"115 Amoy St, #01-01, Singapore 069935",rahil mumtaz,"Food is not so great, but not bad as well. It's just an average place with average food.",0.4313,0.4327,0.3319,0.4839,0.3976
Mapo Galmaegi Korean Restaurant (Magal BBQ),"115 Amoy St, #01-01, Singapore 069935",Jeannie Lee,"As a Korean, I can confirm this place is super!",0.4311,0.2993,0.5335,0.2978,0.6103
Shukuu Japanese Izakaya and Sake Bar,"115 Amoy St, #01-01, Singapore 069935",H C,"It's gets pricey but the great food, vibes and sake selection makes up for it! Staff are very friendly and the restaurant gets busy for dinners. Do make a reservation to avoid disappointment or Long waits!",0.4309,0.3749,0.3328,0.4272,0.4668
Sun King Ryoriya,"115 Amoy St, #01-01, Singapore 069935",Eric Liew,Being able to take a seat in the Japanese community in Singapore has its own reasons.,0.4307,0.405,0.2751,0.3577,0.4753
Dumpling Darlings,"115 Amoy St, #01-01, Singapore 069935",Thomas Sutton,"Visiting from Australia, we were told this place was a must visit and it didn't disappoint. We waited probably half an hour for lunch on a Friday but the set lunch was amazing. For $16, we sampled two of the noodle dishes which were heavenly, the passion fruit soda water delicious and the dumplings, wow, the best I've eaten! Highly recommend.",0.4306,0.4029,0.4349,0.4068,0.5514
Alati Divine Greek Cuisine,"115 Amoy St, #01-01, Singapore 069935",Eric Six,"Greek food.. the food here is good, for sure. However the service could use some adjustment. I'm not sure if it was only the night I was there, but wait times were painfully long for everything from water to courses.",0.4304,0.4253,0.3524,0.4821,0.467
The Market Grill,"115 Amoy St, #01-01, Singapore 069935",Christopher Kwong,"Although the place is supposedly known for its lobster (and the lobster is actually pretty decent but slightly overpriced), I was really surprised with the prok chop. Before their renovation in Feb 2019, it was called the mangalica pork chop. It was so well done with the right tenderness. Fat to meat ratio was also just right to make it a mouth watering amount of juiciness. After the renovationthe menu changed Duroc Pork. However, given my amateur taste buds, it tastes just as pleasant as before. Really recommended",0.4302,0.3909,0.4804,0.3757,0.5353
WANTON - Seng's Noodle Bar,"115 Amoy St, #01-01, Singapore 069935",zenm4ster,"This place is definitely cool to hang out in but the food really isn't up to par with hawkers and kopitiams I've been to. The taste doesn't correspond with the price. While I am paying for ambiance and service, the food is the highlight so that needs to seal the deal.",0.4301,0.3677,0.4176,0.3986,0.5057
SUM YI TAI,"115 Amoy St, #01-01, Singapore 069935",keefe hayashi,"Prices are not the lowest for Happy Hours in the vicinity. But this joint is certainly not choked full of drinkers and thus facilitates a decent conversation with friends, it being tucked slightly away from the main strip of drinking holes. Snacks are decent. Sadly the claypot rice which i had high hopes for was not palatable.",0.4294,0.3955,0.3432,0.4045,0.5341
Chao Ting,"115 Amoy St, #01-01, Singapore 069935",Stanley Tan,"Not bad in terms of taste, food quality is good. But it is very expensive given its food quantity. Can try is around the area but i won't travel down purposely for this.",0.4288,0.4354,0.3048,0.4655,0.4795
Katanashi An,"115 Amoy St, #01-01, Singapore 069935",Shinya Mat,"Regular customer. They have a large selection of awesome and limited seasonal Japanese Sake. Every time I go there, I can find a new sake. The staffs are nice and friendly.",0.4288,0.2792,0.5088,0.344,0.5931
Employees Only Singapore,"115 Amoy St, #01-01, Singapore 069935",Charles C,"This place does two things really well: a Manhattan and a burger. I recommend getting both. When the burger arrives, eat it over the fries. The sauce that'll drip out is the perfect condiment for fries!, meeting my expectations but presentation could be enhanced.The â€œgrilled watermelon saladâ€ did not live up to its name.Don't get me wrong - the salad is fresh and dressing is good, I just did not get the â€œgrilled watermelonâ€ sensation.I should mention that the house red wine is great.My Wife commented that all the meats are too salty. Personally I think I should have ordered a beer for her and it would have been perfect.",0.4287,0.3169,0.4829,0.2952,0.6053
WANTON - Seng's Noodle Bar,"115 Amoy St, #01-01, Singapore 069935",Miki Miki Lodge,"Each time I go Singapore, I cannot miss this WonTon restaurent. The best WONTON NOODLE RESTAURENT in Singapore. Staff are friendly, good and fast service. Highly recommended",0.4285,0.3189,0.5493,0.3632,0.6479
Guo Fu Hotpot Steamboat,"115 Amoy St, #01-01, Singapore 069935",Steph Loreto,"Such an excellent experience dining here! Because we came early for dinner (6pm), we got a prime table near a fan. This is important as the place gets stuffy when packed. I felt the free flow buffet was worth it. We spent less than $50 each month and ate to our hearts' content. The tomato soup and old hen fungi soup bases were delicious and I highly recommend the special beef slices. I was also pleasantly surprised that the staff were so attentive. I will definitely return... and try not to overeat!",0.4284,0.374,0.463,0.4175,0.563
Basque Kitchen by Aitor,"115 Amoy St, #01-01, Singapore 069935",Mandy Tan,I love this restaurant. would happily grow fat for food like this. One of the friendliest service in Singapore. They are quite knowledgeable on wines so just leave it to them to recommend a bottle with the food.,0.4279,0.3262,0.5907,0.3777,0.556
Kitchen by Food Rebel,"115 Amoy St, #01-01, Singapore 069935",Pavlina L.,"Unfortunately, the bulletproof coffee wasn't worth it. It was cold and not as creamy as the BP coffee I would get in Australia for example. The peanut butter fudge also disappointed, it had not much of taste. But their concept of clean eating sounds really good. Maybe I should give them another chance with the salads.",0.4279,0.3501,0.3295,0.4031,0.5005
Noti Restaurant & Bar,"115 Amoy St, #01-01, Singapore 069935",Wai Chan,"Like the ambient but be prepared to wait. Went here for a wine and a platter. Arrive is super slow. Waited 10 mins to place an order, another 20 mins for the wine, need to check for the platter for two times before it comes. Then another 15 mins? For the whiskey and 15 mins for the bill!!!!!!!! I can't believe it!",0.4275,0.4022,0.3959,0.3701,0.5746
Fu Lin Bar & Kitchen,"115 Amoy St, #01-01, Singapore 069935",Didik Pra,"The dry yong tau fu was very nice, you need to queue to get seat..",0.4273,0.3079,0.3648,0.2869,0.5281
Annalakshmi Janatha,"115 Amoy St, #01-01, Singapore 069935",feature sky,"Food was satisfying and I'm still amazed by their concept of eat however you want, pay whatever you want",0.4272,0.3286,0.5184,0.3634,0.5667
The Coconut Club,"115 Amoy St, #01-01, Singapore 069935",Ai Lay,good authentic food and friendly staff! the noise/echo can get quite loud during peak hours so it can be hard to have a conversation,0.4271,0.4137,0.5272,0.3848,0.5826
Bar-A-Thym Restaurant by Francois Mermilliod,"115 Amoy St, #01-01, Singapore 069935",Alp Altun,"Taste, service, ambiance, attention to detail and customer orientation are top. Not often that I think 5 stars are warranted but here, it is an easy choice.",0.4271,0.3041,0.3504,0.3837,0.5379
Shukuu Japanese Izakaya and Sake Bar,"115 Amoy St, #01-01, Singapore 069935",Flo Yeow,"It's a good izakaya spot, nothing too fancy nor overly yummy. If you're working around the area, then this could be your go-to. Beyond that, I'm pretty sure that there are better Japanese food options around. Maybe it's just me and Japanese bar food, that perhaps it's not my thing... Service is great though! Super prompt and well staffed location!",0.4271,0.327,0.5212,0.3211,0.6298
Chong Wen Ge Cafe,"115 Amoy St, #01-01, Singapore 069935",Gek Kim Choo,"#peranakan laksa #peranakan teh-c peng w/gula melaka! so satisfying. the mee siam was on the sweet side so be sure to ask for extra calamasi to squeeze over your dish if you want a more sourish taste. after a sinful desert of #peranakankuieh, walk off the guilt by exploring the antique #peranakantiles next door, the beautiful wood door carvings, temples and #telokayergreena shady park with benches, bronze sculptures and water feature.",0.427,0.4004,0.4118,0.319,0.5316
The Coconut Club,"115 Amoy St, #01-01, Singapore 069935",Yno Sanchez,"Menu is really simple. One main dish of nasi lemak with 2 pcs of chicken (breast or leg aka light or dark), peanuts, fried anchovies, fried egg sunny side up, crunchy cucumber slices and a spoonful of sambal chili. Besides the main dish, there are lots of sides like otah and sotong(squid). The main dish is big and I hardly have space for the sides. Overall, this is a great place to unwind after a long day, catch up with some friends, or as the first stop of your incredible night.",0.4268,0.3499,0.4529,0.3252,0.5257
Blue Label Pizza & Wine,"115 Amoy St, #01-01, Singapore 069935",Charlotte Ching,"One of the worst crusts I've come across on any pizza in a long time. Almost no give, and the texture was closer to a stale cracker than anything resembling yeasted dough. Maybe we got an overworked batch, or it's a pizza style that I've never encountered. It doesn't resemble a Neapolitan, New York, Chicago, or anything in between. Honestly surprised by the rave reviews. Ordered the Black Magic which was supposed to contain black truffle cream, but there was no flavour to be found. Maybe they used old truffles. They might have been better off using flavoured oils instead if they can't use up fresh batches fast enough. To their credit, the staff were friendly and helpful. It's a shame about the quality of the pizzas. They didn't ask questions when we returned almost a full pan back to the kitchen, so I'm not sure if it's because they too knew it was substandard. You can find infinitely better pies at this price point, and we're not wanting for reasonably good pizzerias here. Can't recommend this place to anyone.",0.4267,0.3839,0.3261,0.358,0.5013
SINGKOBA,"115 Amoy St, #01-01, Singapore 069935",Jasmine Koh,"I don't know why I always find myself here when meeting my friends for lunch. The lunch set selection is typical for Korean restaurants around CBD. everything I have ordered so far is tasty. The kimchi soup is slightly more spicy than normal. Price is comparative to other Korean restaurants as well. I like that when I leave the restaurant, my clothes don't smell like bbq.",0.4265,0.305,0.4109,0.3559,0.5669
Bumbu,"115 Amoy St, #01-01, Singapore 069935",Derek Ewell,"Good selection of tasty Indonesian style food at a decent price.Gets very crowded at lunch, and although the staff is helpful and able to effectively manage the small amount of space with respect to the large crowds at lunch, a lunchtime reservation is highly recommended.",0.4263,0.3397,0.5111,0.3559,0.6298
SONS,"115 Amoy St, #01-01, Singapore 069935",Nandhini P,Food was extremely salty. Both the squid ink pasta and cheese tagliatelle. I know both dishes are naturally salty. But this was so extreme that we had to leave the pasta aside. Cosy ambience.,0.4263,0.3862,0.4157,0.4155,0.4887
Dong Fang Hong Restaurant,"115 Amoy St, #01-01, Singapore 069935",tmyy,"idm RATE IT 100 STARS! the food is really scrumptious! dumplings, Sweet and sour pork, Prawn toast, the cold noodle, the jjampong , the fried rice, the jajangmyeon is DAMN FREAKING GOOD! the sweet and sour pork is not those tradinional type u see at those chinese restaurants and its damn unique. i have no words to describe it! i went there 5 to 6 times but recommend people to go!!!! the people there is really amiable! amazing",0.4261,0.3208,0.4406,0.3388,0.5215
Chengdu,"115 Amoy St, #01-01, Singapore 069935",iris lam,"I LOVE THE sour spicy fish. Great soup, spicy and enough. The sour and spicy beef is abit lacking in depth though. Their flower chicken is basically frog's leg which is flavourful but difficult to eat. Their spicy chicken - so crispy and so spicy! I would totally return just to eat the sour spicy fish. Consider me hooked and i would totally recommend this place.",0.4258,0.34,0.4839,0.3267,0.511
Nusantara Cuisine,"115 Amoy St, #01-01, Singapore 069935",Mohamed Abdul Wahab,Superb!,0.4258,0.4278,0.4206,0.4699,0.4383
GAIG RESTAURANT,"115 Amoy St, #01-01, Singapore 069935",Steve Choe,"If you want some cheap food, don't go here. If you want the BEST Spanish cuisine in Asia, you must try this place.This restaurant so good I wish I could give more than 5 stars.Just absolutely delicious plate after plate.",0.4257,0.3053,0.4986,0.3561,0.5888
Freehouse,"116 Telok Ayer St, Singapore 068585",Christian young,"Now that its not a biased review, home sweet home ;) Legend of a spot!",0.4257,0.3213,0.4773,0.3694,0.537
Blue Label Pizza & Wine,"116 Telok Ayer St, Singapore 068585",Yao Yi Wong,"Black magic pizza and honey garlic wings. First of all, it is certainly the most crispy pizza I have ever eaten. It is however, subjective as to whether it is nice given that the texture is different from that of the â€œother pizzasâ€. I would rate it at 4 stars just for the pizza. Wings on the other hand, not exactly the best I have eaten. I believe it is unique to its own with the special sauce though. I'm thinking between 3-4 stars given that it was way too expensive for pizza and wings ($38 and $15 respectively) and finally gave it a 3 as the ambience, though â€œtrying to be upscaleâ€, was noisy and crowded, bringing down the overall feel.",0.4255,0.2826,0.4565,0.3277,0.6273
Annalakshmi Janatha,"116 Telok Ayer St, Singapore 068585",Akash,"Indian veg buffet restaurant, self-service and menu defined as per days. Eat and pay as per your will. Impressive service altogether.",0.4252,0.2194,0.4025,0.3281,0.5425
MOJO,"116 Telok Ayer St, Singapore 068585",Deborah C,"Their spinach is of a higher quality than most salad places - it doesn't leave that waxy feeling on your tongue. All the dishes I chose for my custom $14 lunch bowl was very flavorful but not overly seasoned. The salmon was very moist and yummy. They have katsuobushi available as a topping which is quite unique, you don't see it much in other places. If it's your first time there, you gotta let the staff know so they'll guide you through the overwhelming number of dishes as not all of it is labelled.",0.4252,0.3004,0.4295,0.3196,0.5398
Cloudstreet,"116 Telok Ayer St, Singapore 068585",Kristin Annexstad,Had an outstanding meal here. Interesting and innovative dishes beautifully presented. The food was really excellent and the staff was professional and clearly highly trained. The only disappointment was a dish that was far too salty but the rest of the tasting menu more than made up for it. Will definitely go again.,0.4251,0.3819,0.3637,0.4799,0.5172
Cloudstreet,"116 Telok Ayer St, Singapore 068585",Kristin Annexstad,Had an outstanding meal here. Interesting and innovative dishes beautifully presented. The food was really excellent and the staff was professional and clearly highly trained. The only disappointment was a dish that was far too salty but the rest of the tasting menu more than made up for it. Will definitely go again.,0.4251,0.3819,0.3637,0.4799,0.5172
Botan,"116 Telok Ayer St, Singapore 068585",Josephine Ng,Been returning to Botan for their dishes for a few years now. My favourite is their Chirashi bento that comes with a variety of dishes. Must try!,0.425,0.2302,0.472,0.3348,0.6024
Ichida Japanese Dining,"116 Telok Ayer St, Singapore 068585",Zhang Zhiming,"Tried the Omakase for $99 it was quite a standard menu, Chef will explain each dish and I like that my cup of tea was always filled up.",0.4248,0.274,0.4904,0.3351,0.6108
Basque Kitchen by Aitor,"116 Telok Ayer St, Singapore 068585",Cheng Teo,We decided to try the restaurant despite the mixed reviews. The food turned out better than expected. We generally had a good time BUT for when I was served a piece of plastic in my dessert and had water poured over my mobile phone. Seriously?! A restaurant of this stature. You need to do much much better!,0.4247,0.3536,0.4743,0.3657,0.5919
Kimme,"116 Telok Ayer St, Singapore 068585",Panda Teo,"I would say it's a good playing of flavours to create 'high class' local dishes for a change. Frankly, not worth the hype.",0.4247,0.357,0.3098,0.4011,0.481
Nouri,"116 Telok Ayer St, Singapore 068585",Jeen Lin Ng,"Had anniversary dinner here with the 5 course menu ($150++). Overall each dish was well executed and faultless, but a few things disappointed compared to other fine dining restaurants we have visited in this price range. 1) the amount of food was relatively little, sufficient if you are a small female eater but otherwise the 5 course would not be enough. 2) restaurants usually will give you an anniversary surprise dessert but not Nouri. They wrote happy anniversary in chocolate on the plate but that's about it. What a let down. 3) dessert was mandarin sorbet and peanut soup. It was super simple and tasty but disappointing that such a fine dining establishment had no pastry chef!! Was definitely expecting something more complex and intricate 4) the main male waiter while knowledgable had incredibly bad breath. Each time he knelt down to explain the wine pairings I had to hold my breath, it was so bad. Service was good but small details like this really counts. Overall decent but I wouldn't return. It just wasn't memorable enough. There are other restaurants in this price range that give you better bang for buck (eg tippling club) that in my opinion are more complex in flavours, textures and presentation.",0.4247,0.3788,0.3591,0.4164,0.5425
Pagi Sore,"116 Telok Ayer St, Singapore 068585",Cookie Monster,The Ayam Bali here is tasty! But be prepared to pay. Paid 100 for 3 pax.,0.4246,0.333,0.4297,0.3593,0.5354
MOJO,"116 Telok Ayer St, Singapore 068585",Ee Shawn Sing,"Food was good and reasonably priced. Portions were somewhat bigger than I had expected, so definitely value for money. Only negative is the tables are rather close to each other and in a confined space. This often means that you'll be struggling to compete with the neighbouring tables to be heard by your meal partners. Especially after a few drinks in the evening and a full crowd, the restaurant can become uncomfortably noisy. There were seats available at the bar counter which would have been a better option for a solo diner / couple.",0.4245,0.4265,0.3501,0.4103,0.4809
MARUKYU Japanese Dining,"116 Telok Ayer St, Singapore 068585",Margaret Yang,"I had the basic lunch set at $17. Very worth the price paid. Good place for lunch at CBD area. The place is a bit packed but it is quite new, so 7% GST was waived on the bill. Will go back again.",0.4245,0.4146,0.3344,0.4953,0.4645
Katanashi An,"116 Telok Ayer St, Singapore 068585",Kenneth Kwan,"Nice place, great food flavours, with good selection of sake; but service can be better. Rather pushy staff. It's a shame, would have been 5 stars otherwise.",0.4242,0.3664,0.3765,0.4456,0.4992
My Awesome Cafe,"116 Telok Ayer St, Singapore 068585",Fi W,"This is an incredibly popular place, great if you like to be in the thick of a vibrant crowd and don't mind shouting a little. Its a good atmosphere.The staff do a good job to managea fast service, despite the number of people coming in an out. The decor is eclectic, kind of student mixed with hipster and the menu is vast, with sharing plates, healthy options and smoothies, as well as a selection of wines, beers and cocktails. It gets pretty sweaty inside on a busy night and i would recommend booking if you have a group, otherwise you'll never get a table.",0.4241,0.3591,0.5156,0.3394,0.6128
Kabuke,"116 Telok Ayer St, Singapore 068585",Michel van Luijtelaar,Excellent food. Complex to order as I was unfamiliar with most dishes. They have visuals with the menu as well if you ask for it. Kitchen closes at 21.30h.,0.4241,0.3297,0.4421,0.3624,0.5056
Yen Yakiniku,"116 Telok Ayer St, Singapore 068585",King Glorious,"Best place ever. Steak was awesome, staff was friendly and was thoroughly cooked. Not even that expensive too! Surroundings are warm and cosy. Will definitely go back there.",0.4235,0.392,0.5288,0.4328,0.6207
Go K BBQ Amoy,"116 Telok Ayer St, Singapore 068585",Samuel Shim,"I'm Korean and this is my favorite K-BBQ restaurant in Singapore. Go K ages all of their delicious meats and their service is fantastic. I also like how they have a side area to refill cabbage, kimchi, sauces, etc. I highly recommend you checking it out!",0.4233,0.2804,0.5177,0.3305,0.6038
Lerouy,"116 Telok Ayer St, Singapore 068585",Yu Ong,"The food was great. I ordered the 3 course portion and was worried that I had to go to somewhere else after because I expected the portions to be small. My fears were allayed ultimately, the portions were completely fine even for a big eater like myself. The food was very interestingly and artistically served and you have to taste the food slow to enjoy the subtlety of French fine dining, had to restrain myself from throwing food into myself the usual way I do. Overall I enjoyed my experience!",0.4231,0.505,0.4062,0.4266,0.5608
Preludio,"122 Telok Ayer St, Singapore 068591",Terence Lee,"New restaurant finding its feet. Good food, innovative cooking. Still 1 or two steps shy of the big leagues, but will likely have a shot. There's a lot going on in each plate - perhaps too much? Every bite is tasty but not entirely coherent. There's no need for 10 different things on my plate. Service was generally top notch, great care by each server. Somm seemed a bit scattered but delivered in the end. Conclusion: they have set a high bar for themselves but are rising to the challenge.",0.423,0.3274,0.4043,0.3765,0.5433
Katanashi,"122 Telok Ayer St, Singapore 068591",Justin Lee,Katanashi is awesome! Food is a bit on the oily side but the dishes we had were really tasty and all had their own unique twists. We played the dice-rolling game to try our luck at getting free drinks but luck was not on our side. The restaurant surprised us with an extra extra large drink though! Still got our money's worth!,0.4228,0.338,0.4698,0.33,0.6038
Nusantara Cuisine,"122 Telok Ayer St, Singapore 068591",Godfrey Foo,"This is one of my favourite go-to places for nails padang in the city. Good place but the portion size can be quite irregular sometimes. At times you get more, sometimes you get less.",0.4227,0.4003,0.4362,0.4259,0.5122
Swee Kee Eating House,"122 Telok Ayer St, Singapore 068591",Rivo Pamudji,"Their signature fish noodles is de-li-ci-ous! The soup is made from a pure fish broth. Although it's white, they add no milk at all. The white color came from crushed fiahbones. A must visit-and-dine in the heart of Singapore's Chinatown. Always busy around the clock but no need reservation. It's a first come first serve.",0.4226,0.3669,0.3625,0.3753,0.5234
Employees Only Singapore,"122 Telok Ayer St, Singapore 068591",Joanna O,"This is a nice bar with a decent selection of cocktails amd a bit of a dive-bar edge. It's in a good spot and has a good vibe. It has a lot of buzz but frankly I didn't think it was anything really out of the ordinary. I was there for an event, though, so maybe they weren't offering everything they usually have.",0.4225,0.3511,0.3888,0.377,0.5387
Urban Bites Restaurant,"122 Telok Ayer St, Singapore 068591",Angela Fong,"Wanted to try the Lebanese food here because of all the good reviews.. the Lebanese bread was fluffy and nice. Lamb was good too. Fries was a bit too greasy. Dessert was ok. But I've had better baklava. I wanted to change my reservation but they gave a time restriction which in the end I did not take up, but as I stayed here after an hour and half, the restaurant is still quite empty. They probably need to review the opportunity in re-arranging their restaurant seating and storage areas.",0.4224,0.4035,0.3545,0.3589,0.4793
Employees Only Singapore,"122 Telok Ayer St, Singapore 068591",Savan de Silva,Decent place. Quite cramped up. Incredubly crowded for a week night. The service was very good. Likely to visit again.,0.422,0.4724,0.4731,0.4657,0.5355
Mpire,"122 Telok Ayer St, Singapore 068591",Anntonii Lin,"Mpire @ Amoy is a hidden gem not far away from the busy Amoy Food Center. If you want a cosy environment for a quick lunch, this is indeed the place to try. One might walk pass and if you take a look inside, you would be wow by their exquisite renovations but.... what we found out was their price is surprisingly slightly lower than the few F&B around that area (Really a great find!). Their set lunch is only $18++ for Soup of the day, main course of Pasta/Burger and Coffee/tea. With the good dining environment, it is certainly a good place to drop by if you want to move away from the crowded hawker and have a lunch discussion with your colleagues or client.",0.4216,0.3807,0.459,0.4125,0.5533
Momma Kong's,"122 Telok Ayer St, Singapore 068591",Its Me Bonzi,"I like this place. Cozy place, although the place its actually not to really big, but they have AC to make the situation comfortable during you enjoy your seafood. Was tried the Black Pepper Chili Crab and Mee Hoon Crab Soup. One thing, when you get your bill, they will also submit your personal photo when you dinning there. So price feel worth it. Lovely touch, keep getting better.",0.4216,0.3271,0.4575,0.3573,0.6
Kitchen by Food Rebel,"122 Telok Ayer St, Singapore 068591",Fzewk,"We've really loved the food quality and the options on the menu are great. However, the one downside is the quality of the service. Everyone is nice but you don't feel like a customer at a restaurant. There were loads of people behind the bar (and we were the only customers) yet no one came to take our empty dishes or check that everything was fine. We just got the feeling that people did not care which is a shame. Also, serving some tap water would be a nice touch.",0.4215,0.4165,0.3288,0.4061,0.5251
Dumpling Darlings,"122 Telok Ayer St, Singapore 068591",Ben Lua,"The food was average, you can get way better dumplings at Maxwell Hawker for a fraction of the price. Noodles are not fully soft either. Not worth the hype, don't think I'll come back again. Staff service was very good tho, kudos to them for being patient and helpful throughout the entire dinner.",0.4214,0.3717,0.4252,0.4257,0.5286
Birds of a Feather,"122 Telok Ayer St, Singapore 068591",Mini Rag,"A distinct ambience, for a distinctive take on dishes from Chendu. We had seven dishes, all vegetarian, and most of them were delicious (skip the spicy noodles, order double of the sweet potatoes). The service is prompt and friendly. The setting is darkish, remember not to forget anything behind. There are several types of sitting choices, including on bar stools.",0.4212,0.3282,0.4072,0.3426,0.5971
Cloudstreet,"122 Telok Ayer St, Singapore 068591",Yong Boon Ng,"For the uninitiated, Cloudstreet is the new restaurant of Chef Rishi, who hails from the now famous Michelin starred Cheek by Jowl. The food here infuses more Sri Lankan influences into Chef Rishi's well executed Australian style dishes. The food here is splendid and you can definitely tell it's a real gem when even multiple top chefs from Michelin starred restaurants are spotted in the restaurant. So come before it gets crowded or before prices skyrocket if Chef Rishi gets another few more well deserved stars.",0.421,0.3474,0.4852,0.3177,0.6028
Wang Dae Bak Pocha,"122 Telok Ayer St, Singapore 068591",Awan Radzwan,Did I mention their pan cakes ? It'samazing !!,0.421,0.1814,0.4372,0.3076,0.5072
